"member_id","name","state","party","congress","dwnom1","dwnom2"
"MS11742105","WARNOCK, Raphael Gamaliel","Georgia","Democratic Party",117,-0.431,0.423
"MS11742103","OSSOFF, Thomas Jonathan (Jon)","Georgia","Democratic Party",117,-0.459,0.475
"MS11842105","WARNOCK, Raphael Gamaliel","Georgia","Democratic Party",118,-0.431,0.423
"MS11842103","OSSOFF, Thomas Jonathan (Jon)","Georgia","Democratic Party",118,-0.459,0.475
"MS11641112","SCHATZ, Brian Emanuel","Hawaii","Democratic Party",116,-0.448,-0.119
"MS11620713","HIRONO, Mazie","Hawaii","Democratic Party",116,-0.512,-0.089
"MS11741112","SCHATZ, Brian Emanuel","Hawaii","Democratic Party",117,-0.448,-0.119
"MS11720713","HIRONO, Mazie","Hawaii","Democratic Party",117,-0.512,-0.089
"MS11841112","SCHATZ, Brian Emanuel","Hawaii","Democratic Party",118,-0.448,-0.119
"MS11820713","HIRONO, Mazie","Hawaii","Democratic Party",118,-0.512,-0.089
"MS11640902","RISCH, James","Idaho","Republican Party",116,0.552,0.384
"MS11629345","CRAPO, Michael Dean","Idaho","Republican Party",116,0.505,0.291
"MS11740902","RISCH, James","Idaho","Republican Party",117,0.552,0.384
"MS11729345","CRAPO, Michael Dean","Idaho","Republican Party",117,0.505,0.291
"MS11840902","RISCH, James","Idaho","Republican Party",118,0.552,0.384
"MS11829345","CRAPO, Michael Dean","Idaho","Republican Party",118,0.505,0.291
"MS11615021","DURBIN, Richard Joseph","Illinois","Democratic Party",116,-0.34,-0.311
"MS11621325","DUCKWORTH, Tammy","Illinois","Democratic Party",116,-0.345,0.056
"MS11715021","DURBIN, Richard Joseph","Illinois","Democratic Party",117,-0.34,-0.311
"MS11721325","DUCKWORTH, Tammy","Illinois","Democratic Party",117,-0.345,0.056
"MS11815021","DURBIN, Richard Joseph","Illinois","Democratic Party",118,-0.34,-0.311
"MS11821325","DUCKWORTH, Tammy","Illinois","Democratic Party",118,-0.345,0.056
"MS11641900","BRAUN, Michael","Indiana","Republican Party",116,0.8,0.6
"MS11621133","YOUNG, Todd","Indiana","Republican Party",116,0.439,-0.024
"MS11741900","BRAUN, Michael","Indiana","Republican Party",117,0.8,0.6
"MS11721133","YOUNG, Todd","Indiana","Republican Party",117,0.439,-0.024
"MS11841900","BRAUN, Michael","Indiana","Republican Party",118,0.8,0.6
"MS11821133","YOUNG, Todd","Indiana","Republican Party",118,0.439,-0.024
"MS11641502","ERNST, Joni","Iowa","Republican Party",116,0.537,-0.032
"MS11614226","GRASSLEY, Charles Ernest","Iowa","Republican Party",116,0.362,-0.035
"MS11741502","ERNST, Joni","Iowa","Republican Party",117,0.537,-0.032
"MS11714226","GRASSLEY, Charles Ernest","Iowa","Republican Party",117,0.362,-0.035
"MS11841502","ERNST, Joni","Iowa","Republican Party",118,0.537,-0.032
"MS11814226","GRASSLEY, Charles Ernest","Iowa","Republican Party",118,0.362,-0.035
"MS11614852","ROBERTS, Charles Patrick (Pat)","Kansas","Republican Party",116,0.413,-0.09
"MS11629722","MORAN, Jerry","Kansas","Republican Party",116,0.413,0.221
"MS11721734","MARSHALL, Roger Wayne","Kansas","Republican Party",117,0.607,0.139
"MS11729722","MORAN, Jerry","Kansas","Republican Party",117,0.413,0.221
"MS11821734","MARSHALL, Roger Wayne","Kansas","Republican Party",118,0.607,0.139
"MS11829722","MORAN, Jerry","Kansas","Republican Party",118,0.413,0.221
"MS11641104","PAUL, Rand","Kentucky","Republican Party",116,0.891,-0.454
"MS11614921","MCCONNELL, Addison Mitchell (Mitch)","Kentucky","Republican Party",116,0.402,0.018
"MS11741104","PAUL, Rand","Kentucky","Republican Party",117,0.891,-0.454
"MS11714921","MCCONNELL, Addison Mitchell (Mitch)","Kentucky","Republican Party",117,0.402,0.018
"MS11841104","PAUL, Rand","Kentucky","Republican Party",118,0.891,-0.454
"MS11814921","MCCONNELL, Addison Mitchell (Mitch)","Kentucky","Republican Party",118,0.402,0.018
"MS11641703","KENNEDY, John Neely","Louisiana","Republican Party",116,0.56,-0.149
"MS11620919","CASSIDY, Bill","Louisiana","Republican Party",116,0.464,-0.048
"MS11741703","KENNEDY, John Neely","Louisiana","Republican Party",117,0.56,-0.149
"MS11720919","CASSIDY, Bill","Louisiana","Republican Party",117,0.464,-0.048
"MS11841703","KENNEDY, John Neely","Louisiana","Republican Party",118,0.56,-0.149
"MS11820919","CASSIDY, Bill","Louisiana","Republican Party",118,0.464,-0.048
"MS11649703","COLLINS, Susan Margaret","Maine","Republican Party",116,0.124,-0.505
"MS11641300","KING, Angus Stanley, Jr.","Maine","Independent",116,-0.167,-0.187
"MS11749703","COLLINS, Susan Margaret","Maine","Republican Party",117,0.124,-0.505
"MS11741300","KING, Angus Stanley, Jr.","Maine","Independent",117,-0.167,-0.187
"MS11849703","COLLINS, Susan Margaret","Maine","Republican Party",118,0.124,-0.505
"MS11841300","KING, Angus Stanley, Jr.","Maine","Independent",118,-0.167,-0.187
"MS11615408","CARDIN, Benjamin Louis","Maryland","Democratic Party",116,-0.32,-0.224
"MS11620330","VAN HOLLEN, Christopher","Maryland","Democratic Party",116,-0.398,-0.227
"MS11715408","CARDIN, Benjamin Louis","Maryland","Democratic Party",117,-0.32,-0.224
"MS11720330","VAN HOLLEN, Christopher","Maryland","Democratic Party",117,-0.398,-0.227
"MS11815408","CARDIN, Benjamin Louis","Maryland","Democratic Party",118,-0.32,-0.224
"MS11820330","VAN HOLLEN, Christopher","Maryland","Democratic Party",118,-0.398,-0.227
"MS11614435","MARKEY, Edward John","Massachusetts","Democratic Party",116,-0.517,-0.471
"MS11641301","WARREN, Elizabeth","Massachusetts","Democratic Party",116,-0.745,-0.37
"MS11714435","MARKEY, Edward John","Massachusetts","Democratic Party",117,-0.517,-0.471
"MS11741301","WARREN, Elizabeth","Massachusetts","Democratic Party",117,-0.745,-0.37
"MS11814435","MARKEY, Edward John","Massachusetts","Democratic Party",118,-0.517,-0.471
"MS11841301","WARREN, Elizabeth","Massachusetts","Democratic Party",118,-0.745,-0.37
"MS11620923","PETERS, Gary C.","Michigan","Democratic Party",116,-0.25,-0.183
"MS11629732","STABENOW, Deborah Ann","Michigan","Democratic Party",116,-0.343,-0.019
"MS11720923","PETERS, Gary C.","Michigan","Democratic Party",117,-0.25,-0.183
"MS11729732","STABENOW, Deborah Ann","Michigan","Democratic Party",117,-0.343,-0.019
"MS11820923","PETERS, Gary C.","Michigan","Democratic Party",118,-0.25,-0.183
"MS11829732","STABENOW, Deborah Ann","Michigan","Democratic Party",118,-0.343,-0.019
"MS11640700","KLOBUCHAR, Amy","Minnesota","Democratic Party",116,-0.278,-0.325
"MS11641706","SMITH, Tina","Minnesota","Democratic Party",116,-0.409,-0.121
"MS11740700","KLOBUCHAR, Amy","Minnesota","Democratic Party",117,-0.278,-0.325
"MS11741706","SMITH, Tina","Minnesota","Democratic Party",117,-0.409,-0.121
"MS11840700","KLOBUCHAR, Amy","Minnesota","Democratic Party",118,-0.278,-0.325
"MS11841706","SMITH, Tina","Minnesota","Democratic Party",118,-0.409,-0.121
"MS11641707","HYDE-SMITH, Cindy","Mississippi","Republican Party",116,0.449,0.333
"MS11629534","WICKER, Roger F.","Mississippi","Republican Party",116,0.377,0.341
"MS11741707","HYDE-SMITH, Cindy","Mississippi","Republican Party",117,0.449,0.333
"MS11729534","WICKER, Roger F.","Mississippi","Republican Party",117,0.377,0.341
"MS11841707","HYDE-SMITH, Cindy","Mississippi","Republican Party",118,0.449,0.333
"MS11829534","WICKER, Roger F.","Mississippi","Republican Party",118,0.377,0.341
"MS11641901","HAWLEY, Joshua David","Missouri","Republican Party",116,0.83,-0.372
"MS11629735","BLUNT, Roy","Missouri","Republican Party",116,0.398,0.18
"MS11741901","HAWLEY, Joshua David","Missouri","Republican Party",117,0.83,-0.372
"MS11729735","BLUNT, Roy","Missouri","Republican Party",117,0.398,0.18
"MS11842303","SCHMITT, Eric Stephen","Missouri","Republican Party",118,0.902,0.076
"MS11841901","HAWLEY, Joshua David","Missouri","Republican Party",118,0.83,-0.372
"MS11621338","DAINES, Steve","Montana","Republican Party",116,0.59,-0.024
"MS11640702","TESTER, Jon","Montana","Democratic Party",116,-0.213,0.153
"MS11721338","DAINES, Steve","Montana","Republican Party",117,0.59,-0.024
"MS11740702","TESTER, Jon","Montana","Democratic Party",117,-0.213,0.153
"MS11821338","DAINES, Steve","Montana","Republican Party",118,0.59,-0.024
"MS11840702","TESTER, Jon","Montana","Democratic Party",118,-0.213,0.153
"MS11641503","SASSE, Benjamin Eric","Nebraska","Republican Party",116,0.669,-0.25
"MS11641302","FISCHER, Debra (Deb)","Nebraska","Republican Party",116,0.46,0.335
"MS11741503","SASSE, Benjamin Eric","Nebraska","Republican Party",117,0.669,-0.25
"MS11741302","FISCHER, Debra (Deb)","Nebraska","Republican Party",117,0.46,0.335
"MS11841302","FISCHER, Debra (Deb)","Nebraska","Republican Party",118,0.46,0.335
"MS11842302","RICKETTS, John Peter (Pete)","Nebraska","Republican Party",118,0.441,0.506
"MS11621743","ROSEN, Jacklyn Sheryl","Nevada","Democratic Party",116,-0.286,0.317
"MS11641700","CORTEZ MASTO, Catherine Marie","Nevada","Democratic Party",116,-0.347,0.35
"MS11721743","ROSEN, Jacklyn Sheryl","Nevada","Democratic Party",117,-0.286,0.317
"MS11741700","CORTEZ MASTO, Catherine Marie","Nevada","Democratic Party",117,-0.347,0.35
